id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
1,POM0003,Pohon Labuai,Dyera sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,105,8,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3313618,101.2202784,78.9,2.03,Belum,-,-,Risman,12/01/2020 11:24,200000,56203.37,-,Brown (1997),media/1606792084132.jpg,media/1606792147845.jpg,,media/1606792207013.jpg,
2,POM0002,Pohon Meranti Kunyit,Shorea conica,Pohon Dewasa,icon/mature_tree.svg,Critically Endangered,72,13,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3315206,101.2203265,41.3,2.02,Belum,-,-,Risman (LPHA),12/01/2020 09:56,200000,21637.38,-,Brown (1997),media/1606791398409.jpg,media/1606791468584.jpg,,media/1606791525368.jpg,
3,POM0004,Meranti Kulit Buaya,Shorea uliginosa,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,57,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3311868,101.220374,131.8,2.05,Belum,-,-,Ryan (LPHA),12/01/2020 10:13,200000,11981.66,-,Brown (1997),media/1606792512605.jpg,media/1606792529880.jpg,,media/1606792358193.jpg,
4,POM0005,Pohon Sosonduok,Endospermum sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,45,16,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3311509,101.2202764,44.3,2.05,Belum,-,-,Elpen (LPHA),12/01/2020 10:20,200000,6588.42,-,Brown (1997),media/1606792800592.jpg,media/1606792787160.jpg,,media/1606792756590.jpg,
5,POM0006,Pohon Meranti Kulit Buaya,Shorea uliginosa,Pohon Dewasa,icon/mature_tree.svg,Vulnerable,108,16,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3309553,101.2200082,44.3,2.07,Belum,-,-,Mayzaldi (LPHA),12/01/2020 10:24,200000,60355.32,-,Brown (1997),media/1606793106959.jpg,media/1606793137210.jpg,,media/1606793062937.jpg,
6,POM0007,Pohon Kapinis,Sloetia elongata,Pohon Dewasa,icon/mature_tree.svg,Not Defined,56,13,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3305994,101.2200618,36.8,2.1,Belum,-,-,Gusperi (LPHA),12/01/2020 10:35,200000,11456.95,-,Brown (1997),media/1606793745015.jpg,media/1606793765313.jpg,,media/1606793648456.jpg,
7,POM0013,Pohon Balam,Syzygium sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,137,15,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3300974,101.2208342,65.6,2.18,Belum,-,-,Elven (LPHA),12/01/2020 11:41,200000,110168.26,-,Brown (1997),media/1606797796305.jpg,media/1606797808699.jpg,,media/1606797775811.jpg,
8,POM0014,Pohon Kulim,Scorodocarpus borneensis,Pohon Dewasa,icon/mature_tree.svg,Not Defined,115,17,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3300107,101.2210161,35,2.2,Belum,-,-,Ryan (LPHA),12/01/2020 11:48,200000,70748.78,-,Brown (1997),media/1606798115397.jpg,media/1606798135685.jpg,,media/1606798072683.jpg,
9,POM0015,Pohon Kedondong Hutan,Spondias pinnata,Pohon Dewasa,icon/mature_tree.svg,Not Evaluated,64,20,Hutan Adat Kampa,Mineral,Ghimbo Pomuan,0.3312783,101.2217867,36.3,2.1,Belum,-,-,Risman,12/01/2020 12:05,200000,16061.6,-,Brown (1997),media/1606799158481.jpg,media/1606799172497.jpg,,media/1606799064697.jpg,
10,BCL0002,Pohon Modang,Litsea sp.,Pohon Dewasa,icon/mature_tree.svg,Not Defined,57,15,Hutan Adat Kampa,Mineral,Ghimbo Bonca Lida,0.3197694,101.203353,52.9,3.17,Belum,-,-,Ryan (LPHA),12/01/2020 14:14,200000,11981.66,-,Brown (1997),media/1606806934517.jpg,media/1606806953147.jpg,,media/1606806920650.jpg,
